"gene","x","y","log2FoldChange","padj","direction","degree"
"TBC1D1",1.85214789873718,-2.23477700830397,-0.203222548415831,0.0366365063874198,"down",26
"RAB14",1.72843811252715,-2.35424712198818,-0.298648075661669,0.000178865699285474,"down",8
"RAB10",1.71571993692126,-2.40187466358659,-0.376702427711214,0.000271804374924673,"down",8
"RAB8A",1.74721070798792,-2.40878472820246,-0.471638633618142,0.00293420640456092,"down",10
"ELAVL1",2.08646526105666,-1.98436872480817,-0.162864878772838,0.0212475956969853,"down",22
"IRS4",2.16240180672479,-1.80698569368112,-0.00217431872335911,0.584149891728058,"down",24
"CCNA1",2.30876402471832,-1.83661579038258,0.206340829239722,0.0154300089262731,"up",14
"CCNA2",2.34725213127384,-1.87223471304043,-0.227810389052363,0.0523620050070819,"down",18
"PPP2R3C",2.45920087161211,-2.05101667271313,-0.116745283285733,0.261534634024367,"down",22
"PFKFB1",2.2212490688483,-2.18173228400843,-0.0601320588291242,0.669457187267731,"down",30
"CREB3L3",1.8802558127241,-1.66097679704627,0.00448265955540285,0.649781390700135,"up",16
"CPT1B",1.54964289354414,-1.98677326059614,0.356200774079044,0.0244683105820735,"up",8
"CREB3L2",1.95478102318067,-1.56770262995629,0.0933026740947285,0.526320937055406,"up",14
"CREB3",1.94994063315513,-1.60035652091388,0.021501143178591,0.845832660295459,"up",14
"CREB3L1",1.89719818668293,-1.59587284366249,-0.482486976340383,0.00228947754734216,"down",14
"MLYCD",1.80818007041885,-2.13745321115019,0.542593136373946,0.00118254286756593,"up",20
"MAP3K7",1.9809232026842,-2.1933997812581,0.0600820592909299,0.455270352838964,"up",16
"CREB3L4",1.89705766999068,-1.56902502747115,0.204309100092946,0.187533182849562,"up",14
"CPT1C",1.48721828485436,-2.05657937505147,0.316604857176655,0.0493722914067753,"up",6
"GYS1",1.80574764118267,-2.24711491540365,0.090331098368412,0.527447897044768,"up",16
"RAB2A",1.64784467242778,-2.32865983580219,-0.249347390932725,0.677217789313133,"down",4
"CREB5",1.93301944382621,-1.57930305784466,1.64988110510381,8.41642565279164e-06,"up",14
"RAB11B",1.75102968554689,-2.43700714429234,0.525084694901599,9.30438752937417e-09,"up",6
"GYS2",1.95448187531604,-2.2945426561158,-0.127330440337239,0.0014585948396328,"down",12
"PCK2",1.98489029037987,-2.45939833794085,0.0471923574335191,0.822940891909562,"up",4
"LIPE",1.88587175941488,-2.04779652815076,0.224492483745431,0.231188101630619,"up",28
"G6PC3",2.80592251998441,-2.39033054591961,0.177235315959979,0.0282875544087216,"up",2
"G6PC2",2.54360930291482,-2.22862018909383,0.0104683403125668,0.763404519786032,"up",4
"CIDEA",1.71565601279317,-1.76606760008283,0.0199430463117549,0.9639110582415,"up",4
"SCD5",1.47788758065981,-1.97163389229806,-0.205007507934934,0.128777983035494,"down",4
