"Drug_Name_Norm","Drug_Name","mean_fc","median_fc","max_abs_fc","min_p_value","min_q_value","n_tests","n_sources","sources","score","direction"
"brd-k96167523","BRD-K96167523",2.32544,2.32544,2.32544,1.1076e-06,0.000152716,1,1,"LINCS L1000",8.87414753456828,"Upregula NQO1"
"ryuvidine","ryuvidine",-1.84214,-1.84214,1.84214,3.50178e-05,0.00015833,1,1,"LINCS L1000",7.0009366250751,"Downregula NQO1"
"methylene-blue","methylene-blue",0.3700985,-0.0782275,2.56907,1.07625e-06,0.000160845,4,1,"LINCS L1000",9.74600451687173,"Downregula NQO1"
"brd-k14027855","BRD-K14027855",0.849502,1.69866,1.72926,9.17118e-07,0.000162082,3,1,"LINCS L1000",6.55435402223759,"Upregula NQO1"
"pk-11195","PK-11195",-0.690768,-1.07352,1.39659,5.02519e-05,0.00016324,4,1,"LINCS L1000",5.28912851811688,"Downregula NQO1"
"brd-k27169919","BRD-K27169919",-0.355475,-0.355475,1.82216,4.31832e-06,0.00016326,2,1,"LINCS L1000",6.90073895791154,"Downregula NQO1"
"brd-k88008216","BRD-K88008216",-1.90985,-1.90985,1.90985,5.67992e-06,0.000163835,1,1,"LINCS L1000",7.22991539174038,"Downregula NQO1"
"benzbromarone","benzbromarone",2.23459,2.23459,2.23459,7.14235e-06,0.000166192,1,1,"LINCS L1000",8.44538684473831,"Upregula NQO1"
"tpca-1","TPCA-1",-1.25557825,-1.158045,2.38571,4.63936e-06,0.000176296,8,1,"LINCS L1000",6.4697284089088,"Downregula NQO1"
"sc-i-004","SC-I-004",1.870055,1.870055,2.05144,9.87118e-07,0.000184715,2,1,"LINCS L1000",7.65904680013151,"Upregula NQO1"
"k784-3187","K784-3187",1.87746142857143,1.80145,3.1631,1.29781e-06,0.000184898,7,1,"LINCS L1000",8.07041217137371,"Upregula NQO1"
"4-hydroxynonenal","4-hydroxynonenal",0.7534554,0.70037,1.11463,7.45212e-06,0.000188734,5,1,"CREEDS",4.15104915357628,"Upregula NQO1"
"paclitaxel","paclitaxel",-1.55005666666667,-1.2664,2.31143,1.134e-06,0.000192212,3,1,"LINCS L1000",8.58978124432552,"Downregula NQO1"
"brd-k05402890","BRD-K05402890",-1.34555033333333,-1.26709,1.95864,1.517e-05,0.000193241,6,1,"LINCS L1000",5.80661686179277,"Downregula NQO1"
"kin001-220","KIN001-220",-1.49265933333333,-1.46191,2.33639,1.67346e-07,0.00019365,3,1,"LINCS L1000",8.67497518008606,"Downregula NQO1"
"brd-a58924247","BRD-A58924247",1.47966,1.54982,1.85515,8.4954e-06,0.000194625,3,1,"LINCS L1000",6.88409316976236,"Upregula NQO1"
"fccp","FCCP",1.76511,1.76511,1.76511,4.61713e-06,0.000195836,1,1,"LINCS L1000",6.54521757640515,"Upregula NQO1"
"brd-k99502566","BRD-K99502566",-1.87731,-1.87731,1.87731,3.53209e-06,0.000198618,1,1,"LINCS L1000",6.94976669374882,"Downregula NQO1"
"brd-k53780220","BRD-K53780220",-1.85353,-1.85353,1.85353,1.3243e-05,0.000199388,1,1,"LINCS L1000",6.85861888081236,"Downregula NQO1"
"bms-754807","BMS-754807",0.816432,1.08058,1.6996,3.59878e-05,0.00020125,5,1,"LINCS L1000",5.20788828177833,"Upregula NQO1"
"cgk-733","CGK-733",1.3721515,1.3721515,1.75797,1.168e-05,0.000215157,2,1,"LINCS L1000",6.44690584855904,"Upregula NQO1"
"thioridazine","thioridazine",0.3059796,0.807113,1.63216,2.86236e-05,0.000215772,5,1,"LINCS L1000",3.51188652870709,"Upregula NQO1"
"gsk-429286a","GSK-429286A",1.65707333333333,1.40532,2.4022,1.17107e-05,0.000219322,3,1,"LINCS L1000",8.78945234500649,"Upregula NQO1"
"yk-4279","YK-4279",-1.22598,-1.22598,1.33927,9.32179e-06,0.000220358,2,1,"LINCS L1000",4.06896399104685,"Downregula NQO1"
"aplidin","Aplidin",-1.33815,-1.33815,1.33815,4.22818e-05,0.000224675,1,1,"CREEDS",4.88216701080218,"Downregula NQO1"
"rs-i-002-6","RS-I-002-6",0.888484285714286,1.483,2.757,7.47259e-06,0.000225832,7,1,"LINCS L1000",8.11911602248596,"Upregula NQO1"
"saracatinib","saracatinib",-0.00858999999999999,-0.00858999999999999,1.08194,1.27622e-06,0.000228094,2,1,"LINCS L1000",3.94030228886756,"Downregula NQO1"
"brd-k82685933","BRD-K82685933",0.734593333333333,1.3744,2.26496,1.19812e-06,0.000231998,3,1,"LINCS L1000",6.55893258170553,"Upregula NQO1"
"gdc-0879","GDC-0879",-0.379967,-0.756159,1.51981,2.03171e-05,0.000233714,4,1,"LINCS L1000",5.03679557142431,"Downregula NQO1"
"brd-k06765193","BRD-K06765193",2.17072166666667,2.065255,2.83077,1.11249e-06,0.000235562,6,1,"LINCS L1000",7.92779337096853,"Upregula NQO1"
"canertinib","canertinib",1.51088666666667,1.53217,1.73456,1.08918e-05,0.000249526,3,1,"LINCS L1000",6.24941880972692,"Upregula NQO1"
"brd-k62459624","BRD-K62459624",0.82063,1.375095,3.1812,5.46442e-06,0.000250411,8,1,"LINCS L1000",8.53767636510622,"Upregula NQO1"
"fl-hdac-025","FL-HDAC-025",0.4417775,0.329085,2.66018,2.5463e-05,0.000250446,4,1,"LINCS L1000",9.58006872614397,"Upregula NQO1"
"evodiamine","evodiamine",-1.18164333333333,-1.07542,1.48685,1.4541e-05,0.000254343,3,1,"LINCS L1000",5.34460158594177,"Downregula NQO1"
"brd-k76236182","BRD-K76236182",2.4813,2.4813,2.4813,2.67237e-06,0.000262151,1,1,"LINCS L1000",8.8866481166233,"Upregula NQO1"
"hdaci1,2+3_mix","HDACi1,2+3_mix",2.04644666666667,2.08436,2.12707,2.87131e-05,0.000265084,3,1,"LINCS L1000",7.60771362615415,"Upregula NQO1"
"brd-k01614657","BRD-K01614657",-1.28751,-1.28751,1.28751,3.95993e-05,0.000274703,1,1,"LINCS L1000",4.58499898087028,"Downregula NQO1"
"triflupromazine","triflupromazine",-1.80415,-1.80415,1.80415,5.38619e-06,0.000278282,1,1,"LINCS L1000",6.41468217805629,"Downregula NQO1"
"bl003-049-hdac3","BL003-049-HDAC3",0.379754,0.379754,0.930143,6.70949e-05,0.000294108,2,1,"LINCS L1000",3.28479364430763,"Upregula NQO1"
"tg100-115","TG100-115",1.76754,1.76754,1.76754,1.72542e-05,0.000302219,1,1,"LINCS L1000",6.22117206886243,"Upregula NQO1"
"akt-inhibitor-1-2","AKT-inhibitor-1-2",-0.8613926,-1.22829,2.54163,1.28142e-05,0.000310159,5,1,"LINCS L1000",8.91709437251302,"Downregula NQO1"
"bisacodyl","bisacodyl",-1.34354,-1.34354,1.34354,5.65406e-05,0.000311722,1,1,"LINCS L1000",4.71076367485574,"Downregula NQO1"
"brd-k01896723","BRD-K01896723",-1.9151,-1.9151,1.9151,2.58794e-05,0.000322306,1,1,"LINCS L1000",6.68701520564394,"Downregula NQO1"
"mw-stk33-2a","MW-STK33-2A",-1.23742266666667,-1.30504,1.51657,1.02109e-05,0.000325754,3,1,"LINCS L1000",3.48187242426657,"Downregula NQO1"
"brd-k42499654","BRD-K42499654",2.35193,2.35193,2.35193,1.0897e-05,0.000328356,1,1,"LINCS L1000",8.19331280647276,"Upregula NQO1"
"brd-k93578426","BRD-K93578426",1.992545,1.992545,2.10777,2.91424e-05,0.000335013,2,1,"LINCS L1000",7.3243707850524,"Upregula NQO1"
"azaperone","azaperone",-1.53561,-1.53561,1.53561,3.92087e-06,0.000338411,1,1,"LINCS L1000",5.32941977546546,"Downregula NQO1"
"km-00927","KM-00927",-1.490359,-1.490359,2.38075,4.4557e-06,0.000338633,2,1,"LINCS L1000",8.26184702114646,"Downregula NQO1"
"brd-k12707296","BRD-K12707296",-2.27252,-2.27252,2.27252,4.29933e-06,0.000340703,1,1,"LINCS L1000",7.88024498863497,"Downregula NQO1"
"qs-11","QS-11",-0.879806,-0.879806,0.879806,2.45281e-05,0.000347671,1,1,"LINCS L1000",3.04310073595175,"Downregula NQO1"
"zeranol","zeranol",1.05208,1.05208,1.05208,1.21416e-05,0.000349813,1,1,"LINCS L1000",3.63616107898062,"Upregula NQO1"
"brd-u86222656","BRD-U86222656",-0.13896,-0.13896,1.64775,5.80362e-05,0.000354403,2,1,"LINCS L1000",5.6855656764396,"Downregula NQO1"
"brd-k00256256","BRD-K00256256",1.80776,1.80776,1.80776,9.79251e-06,0.000365259,1,1,"LINCS L1000",6.21399255041937,"Upregula NQO1"
"homoharringtonine","homoharringtonine",-1.15223925,-1.18366,1.47042,9.06021e-05,0.000367358,4,1,"LINCS L1000",5.05076109451722,"Downregula NQO1"
"vanadium pentoxide","Vanadium pentoxide",0.561659,0.561659,0.796698,0.000126379,0.000376515,2,1,"CREEDS",2.72806740688883,"Upregula NQO1"
"bx-912","BX-912",-1.03762066666667,-0.949957,1.50411,2.9178e-05,0.000380407,3,1,"LINCS L1000",5.14368242875376,"Downregula NQO1"
"wh-4025","WH-4025",1.1400312,1.021,1.69976,8.47579e-07,0.000393206,5,1,"LINCS L1000",5.78832847731464,"Upregula NQO1"
"pi-828","PI-828",-1.27256,-1.27256,1.31295,5.05931e-05,0.000394885,2,1,"LINCS L1000",4.46866387708333,"Downregula NQO1"
"cyclopentene","cyclopentene",1.79779666666667,1.79775,2.04864,5.25837e-05,0.000400046,3,1,"LINCS L1000",6.96105350824821,"Upregula NQO1"
"brd-k58347372","BRD-K58347372",0.185235,0.185235,1.93171,1.39827e-06,0.000420767,2,1,"LINCS L1000",5.35997271529449,"Upregula NQO1"
"tyrphostin-ag-126","tyrphostin-AG-126",-2.55312,-2.55312,2.55312,5.63092e-05,0.000423041,1,1,"LINCS L1000",8.61325041354062,"Downregula NQO1"
"tyrphostin-47","tyrphostin-47",2.06204,2.06204,2.06204,1.50394e-06,0.000429357,1,1,"LINCS L1000",6.94326284171419,"Upregula NQO1"
"sb-203580","SB-203580",1.56785,1.56785,1.56785,2.79788e-06,0.000429494,1,1,"LINCS L1000",5.27901820896628,"Upregula NQO1"
"brd-a39121618","BRD-A39121618",1.86848,1.86848,1.86848,6.23119e-07,0.000433613,1,1,"LINCS L1000",6.28350710541393,"Upregula NQO1"
"lansoprazole","lansoprazole",1.01046,1.01046,1.01046,3.04535e-05,0.000442649,1,1,"LINCS L1000",3.38902273033081,"Upregula NQO1"
"brd-k31706415","BRD-K31706415",-0.659659,-0.659659,0.659659,3.29639e-05,0.000442993,1,1,"LINCS L1000",2.21223449127017,"Downregula NQO1"
"brd-k18724229","BRD-K18724229",1.9269,1.9269,1.9269,2.6273e-05,0.000448313,1,1,"LINCS L1000",6.45206793031897,"Upregula NQO1"
"erbstatin-analog","erbstatin-analog",1.46885,1.46885,1.46885,1.39633e-06,0.000450631,1,1,"LINCS L1000",4.91503492928173,"Upregula NQO1"
"bicalutamide","Bicalutamide",-0.275285,-0.275285,0.275285,0.00011155,0.000453062,1,1,"CREEDS",0.920509644675904,"Downregula NQO1"
"mst-312","MST-312",0.874412,0.874412,0.874412,0.000126226,0.000454235,1,1,"LINCS L1000",2.92291396062394,"Upregula NQO1"
"altrenogest","altrenogest",1.40623,1.40623,1.40623,2.50637e-05,0.000461255,1,1,"LINCS L1000",4.69126612531115,"Upregula NQO1"
"epothilone","epothilone",-1.736615,-1.736615,1.84428,1.05856e-06,0.000464057,2,1,"LINCS L1000",5.4299886350769,"Downregula NQO1"
"bibx-1382","BIBX-1382",-1.33409,-1.33409,1.33409,4.29319e-06,0.000475626,1,1,"LINCS L1000",4.43282675275046,"Downregula NQO1"
"nvp-bez235","NVP-BEZ235",-0.931616,-0.910713,1.23742,7.40035e-05,0.000493238,4,1,"LINCS L1000",3.32437106400583,"Downregula NQO1"
"phorbol-12-myristate-13-acetate","phorbol-12-myristate-13-acetate",1.0088896,0.877841,2.09438,7.50624e-06,0.000495451,5,1,"LINCS L1000",6.9219244144313,"Upregula NQO1"
"genistein","genistein",-1.76493,-1.76493,1.76493,2.41096e-05,0.000502689,1,1,"LINCS L1000",5.8219756817928,"Downregula NQO1"
"ssr-69071","SSR-69071",1.267725,1.267725,1.29699,8.42046e-07,0.000506775,2,1,"LINCS L1000",4.2738217566871,"Upregula NQO1"
"sa-792574","SA-792574",-1.255516,-1.42303,1.5086,8.82051e-06,0.000514176,3,1,"LINCS L1000",4.68018657328287,"Downregula NQO1"
"bg-stk33-59","BG-STK33-59",1.61977,1.61977,1.61977,0.000113254,0.000529375,1,1,"LINCS L1000",5.30674971275522,"Upregula NQO1"
"testosterone","testosterone",-1.364196,-1.364196,1.73253,2.48554e-06,0.000542627,2,1,"LINCS L1000",5.65757429021923,"Downregula NQO1"
"bisindolylmaleimide","bisindolylmaleimide",-1.18343,-1.18343,1.35003,7.05871e-05,0.000543135,2,1,"LINCS L1000",4.40797243635387,"Downregula NQO1"
"lithocholic-acid","lithocholic-acid",-1.08941,-1.08941,1.08941,3.43378e-05,0.000543837,1,1,"LINCS L1000",3.55641298740505,"Downregula NQO1"
"brd-k64024097","BRD-K64024097",2.07048,2.07048,2.07048,6.36336e-05,0.000556775,1,1,"LINCS L1000",6.73800503968561,"Upregula NQO1"
"mw-stk33-3a","MW-STK33-3A",-2.24423,-2.24423,2.24423,3.9658e-05,0.000558927,1,1,"LINCS L1000",7.299683287449,"Downregula NQO1"
"emf-sumo1-39","EMF-sumo1-39",0.2628735,0.2628735,1.48199,5.57499e-06,0.000561737,2,1,"LINCS L1000",4.81715954406073,"Upregula NQO1"
"cisplatin","Cisplatin",-0.39345275,-0.4114035,0.71411,3.10715e-05,0.000574396,8,1,"CREEDS",1.49831146665395,"Downregula NQO1"
"n-bromoacetyltryptamine","n-bromoacetyltryptamine",2.78943,2.78943,2.78943,1.0698e-05,0.000575417,1,1,"LINCS L1000",9.03780148935813,"Upregula NQO1"
"chromomycin-a3","chromomycin-a3",-1.773765,-1.773765,2.54363,7.19557e-05,0.00057878,2,1,"LINCS L1000",8.23496774665129,"Downregula NQO1"
"alw-ii-49-7","ALW-II-49-7",0.315185,0.315185,2.44219,1.33152e-07,0.000592149,2,1,"LINCS L1000",7.644129446876,"Upregula NQO1"
"methyl-2,5-dihydroxycinnamate","methyl-2,5-dihydroxycinnamate",1.49288,1.49288,1.49288,4.06443e-06,0.000599383,1,1,"LINCS L1000",4.81050062381733,"Upregula NQO1"
"lonidamine","lonidamine",-0.0055263333333333,-0.656659,1.47151,7.36794e-06,0.000603196,3,1,"LINCS L1000",4.73758758195063,"Downregula NQO1"
"brd-k52914903","BRD-K52914903",1.99596,1.99596,1.99596,8.49151e-05,0.000607612,1,1,"LINCS L1000",6.41975316572191,"Upregula NQO1"
"cosmosiin","cosmosiin",-1.28983,-1.28983,1.28983,2.89665e-05,0.000609581,1,1,"LINCS L1000",4.14676292091105,"Downregula NQO1"
"brd-k81814927","BRD-K81814927",-1.24566633333333,-1.31005,1.43993,0.000126657,0.000613129,3,1,"LINCS L1000",4.4994946209251,"Downregula NQO1"
"brd-k19117583","BRD-K19117583",-1.86052,-1.86052,1.86052,8.81779e-06,0.000613608,1,1,"LINCS L1000",5.97619301220895,"Downregula NQO1"
"apha-compound-8","APHA-compound-8",1.77977,1.77977,2.1437,2.11515e-05,0.000619262,2,1,"LINCS L1000",6.87725878214422,"Upregula NQO1"
"rjc-00245sc","RJC-00245SC",-0.727306,-0.727306,0.727306,9.70598e-05,0.000637184,1,1,"LINCS L1000",2.32427734033609,"Downregula NQO1"
"penfluridol","penfluridol",0.0811605,0.0811605,0.932814,7.59814e-05,0.000666124,2,1,"LINCS L1000",2.96303229041365,"Upregula NQO1"
"helveticoside","helveticoside",-1.36664,-1.36664,1.54048,4.95368e-05,0.000688568,2,1,"LINCS L1000",4.87107965845297,"Downregula NQO1"
"torin-2","torin-2",-0.4974775,-0.682806,2.08944,0.000101739,0.000698161,8,1,"LINCS L1000",6.59436544244829,"Downregula NQO1"
"ursolic-acid","ursolic-acid",-0.17436,-0.17436,1.57766,2.42109e-05,0.000709051,2,1,"LINCS L1000",4.96856017658991,"Downregula NQO1"
"brd-k61717269","BRD-K61717269",-1.163524,-1.23684,1.33047,0.000119088,0.000709253,5,1,"LINCS L1000",3.58306393977982,"Downregula NQO1"
"brd-k10554164","BRD-K10554164",1.28294,1.28294,1.28294,2.86994e-05,0.000723057,1,1,"LINCS L1000",4.02949318803821,"Upregula NQO1"
"emf-sumo1-11","EMF-sumo1-11",0.2415065,0.2415065,1.12521,1.10152e-05,0.000742006,2,1,"LINCS L1000",3.4669138108366,"Upregula NQO1"
"u-0126","U-0126",0.24153,1.11706,1.80972,4.18915e-05,0.000751709,3,1,"LINCS L1000",5.43485119518625,"Upregula NQO1"
"etoposide","etoposide",-0.39404975,-0.8883945,1.34915,0.000188785,0.000757046,4,1,"LINCS L1000",3.43405781117827,"Downregula NQO1"
"palbociclib","palbociclib",1.18791,1.18791,1.51042,2.04781e-05,0.000757486,2,1,"LINCS L1000",4.71345500075499,"Upregula NQO1"
"brd-k61894884","BRD-K61894884",0.8748748,0.746926,2.26445,6.52914e-05,0.000761642,5,1,"LINCS L1000",6.28484746542641,"Upregula NQO1"
"km-03949sc","KM-03949SC",0.571384,0.571384,2.04638,6.40892e-06,0.000767279,2,1,"LINCS L1000",6.37456924146173,"Upregula NQO1"
"pac-1","PAC-1",0.142926,0.1988925,1.12521,0.000128964,0.000772564,4,1,"LINCS L1000",2.96047993296189,"Upregula NQO1"
"4-hydroxytamoxifen","4-hydroxytamoxifen",-0.237915,-0.237915,0.237915,8.23543e-05,0.000776699,1,1,"CREEDS",0.739855517935237,"Downregula NQO1"
"brd-k07005393","BRD-K07005393",0.4166235,0.4166235,1.50149,8.08445e-05,0.000781018,2,1,"LINCS L1000",4.66563837038105,"Upregula NQO1"
"bongkrek-acid","bongkrek-acid",-1.5798,-1.5798,1.5798,3.26939e-05,0.000783936,1,1,"LINCS L1000",4.90641549449178,"Downregula NQO1"
"lawsone","lawsone",1.87516,1.87516,1.87516,3.58301e-07,0.000797865,1,1,"LINCS L1000",5.80937803954799,"Upregula NQO1"
"merck-ketone","merck-ketone",-1.55577,-1.55577,1.55577,9.67296e-05,0.000808549,1,1,"LINCS L1000",4.81089770069332,"Downregula NQO1"
"brd-k18761689","BRD-K18761689",-1.24634,-1.24634,1.24634,3.15733e-05,0.000809061,1,1,"LINCS L1000",3.8537066277704,"Downregula NQO1"
"ag-14361","AG-14361",-0.4716605,-0.858999,1.07693,6.53115e-05,0.000811078,4,1,"LINCS L1000",3.3287231909358,"Downregula NQO1"
"brd-k26510616","BRD-K26510616",1.66710666666667,1.60763,1.99979,0.000115593,0.00081188,3,1,"LINCS L1000",6.18036730719162,"Upregula NQO1"
"ca-074-me","CA-074-Me",1.66232,1.66232,1.76602,1.95187e-06,0.000820079,2,1,"LINCS L1000",5.45019257269622,"Upregula NQO1"
"mycophenolic-acid","mycophenolic-acid",1.613245,1.613245,2.13352,4.13634e-05,0.000820197,2,1,"LINCS L1000",6.5842172921724,"Upregula NQO1"
"jnj-7706621","JNJ-7706621",-1.13376133333333,-1.2365,1.43226,0.00024904,0.000820844,3,1,"LINCS L1000",4.41958107288767,"Downregula NQO1"
"plx-4720","PLX-4720",-0.820806166666667,-0.7956925,1.18104,9.88561e-05,0.000823542,6,1,"LINCS L1000",3.06733084638954,"Downregula NQO1"
"brd-k51377689","BRD-K51377689",1.68611,1.68611,2.04862,5.01621e-06,0.000827414,2,1,"LINCS L1000",6.31441458437394,"Upregula NQO1"
"brd-k10361096","BRD-K10361096",-0.342175,-0.342175,2.46223,2.15244e-05,0.000856814,2,1,"LINCS L1000",7.55193873994542,"Downregula NQO1"
"thiothixene","thiothixene",-1.71083,-1.71083,1.71083,4.83177e-05,0.000865599,1,1,"LINCS L1000",5.23973039137978,"Downregula NQO1"
"ag-879","AG-879",-1.46274,-1.46274,1.46274,5.68866e-05,0.000878893,1,1,"LINCS L1000",4.4702270472863,"Downregula NQO1"
"brd-k32636001","BRD-K32636001",1.65177,1.65177,1.65177,0.000100042,0.000896837,1,1,"LINCS L1000",5.03341639360441,"Upregula NQO1"
"brd-k58479490","BRD-K58479490",-0.80695,-0.80695,0.80695,5.97904e-05,0.000902042,1,1,"LINCS L1000",2.45697976665639,"Downregula NQO1"
"tul_xix002","TUL_XIX002",1.2462375,1.2462375,1.54601,0.000248478,0.000925577,2,1,"LINCS L1000",4.68995652718019,"Upregula NQO1"
"selumetinib","selumetinib",-1.25529,-1.25529,1.29883,0.000251547,0.000927976,2,1,"LINCS L1000",3.67458735007051,"Downregula NQO1"
"temsirolimus","temsirolimus",1.709735,1.709735,2.16113,2.44093e-05,0.000929506,2,1,"LINCS L1000",6.31464191200526,"Upregula NQO1"
"atorvastatin","atorvastatin",-1.66298,-1.66298,2.17558,1.94035e-05,0.000931202,2,1,"LINCS L1000",6.59408747189033,"Downregula NQO1"
"pf-750","PF-750",0.912615,0.912615,1.06621,0.0001219,0.000934092,2,1,"LINCS L1000",2.29953484588748,"Upregula NQO1"
"brd-k97149069","BRD-K97149069",-2.44572,-2.44572,2.44572,6.40798e-05,0.000948756,1,1,"LINCS L1000",7.39303360962961,"Downregula NQO1"
"isotretinoin","isotretinoin",0.9831265,0.9831265,1.65234,1.63526e-06,0.000958262,2,2,"CREEDS; LINCS L1000",4.9876142871121,"Upregula NQO1"
"brd-a24021119","BRD-A24021119",-1.39428666666667,-1.19414,1.89558,0.00012919,0.000964726,3,1,"LINCS L1000",5.7163034975185,"Downregula NQO1"
"jwe-035","JWE-035",-0.394815333333333,-0.817656,1.6411,0.000109765,0.000979059,3,1,"LINCS L1000",4.93838357325334,"Downregula NQO1"
"sa-247615","SA-247615",-0.699652,-0.699652,0.699652,0.000203314,0.000997882,1,1,"LINCS L1000",2.09960024739513,"Downregula NQO1"
"bethanechol","bethanechol",-2.04189,-2.04189,2.04189,6.91709e-06,0.00100019,1,1,"LINCS L1000",6.12550152750805,"Downregula NQO1"
"ko-143","KO-143",0.802069,1.16364,1.39201,9.60786e-05,0.00100022,5,1,"LINCS L1000",4.17589701533019,"Upregula NQO1"
"brd-k68313733","BRD-K68313733",1.33246766666667,1.41876,1.71543,6.87292e-05,0.00100223,3,1,"LINCS L1000",4.254907493781,"Upregula NQO1"
"brd-k71935468","BRD-K71935468",-0.087278,-0.087278,1.10116,0.000117597,0.00101537,2,1,"LINCS L1000",3.2961855553698,"Downregula NQO1"
"brd-k51556300","BRD-K51556300",0.905612166666667,1.052555,1.64476,0.00026035,0.00106957,6,1,"LINCS L1000",4.00833833012903,"Upregula NQO1"
"brd-a47816767","BRD-A47816767",-1.368425,-1.368425,1.53976,0.000194584,0.00110142,2,1,"LINCS L1000",4.55468251292806,"Downregula NQO1"
"nvp-tae684","NVP-TAE684",0.63303075,1.007161,1.44803,3.50919e-05,0.00111314,4,1,"LINCS L1000",4.27668450883743,"Upregula NQO1"
"diphencyprone","diphencyprone",1.78393333333333,1.86821,2.21355,1.0507e-06,0.00111414,3,1,"LINCS L1000",5.51693665862671,"Upregula NQO1"
"vinblastine","vinblastine",-1.083719,-1.1294185,1.40367,5.75768e-05,0.00112648,4,1,"LINCS L1000",3.85324999065022,"Downregula NQO1"
"dasatinib","dasatinib",-0.0529625,-0.0882775,1.30481,0.000212732,0.00113022,3,2,"CREEDS; LINCS L1000",3.84506240141679,"Downregula NQO1"
"linifanib","linifanib",0.07729,0.07729,1.56843,0.000217275,0.0011565,2,1,"LINCS L1000",4.60625048839284,"Upregula NQO1"
"celecoxib","Celecoxib",0.31672,0.31672,0.31672,1.80846e-05,0.00115786,1,1,"CREEDS",0.929998855578119,"Upregula NQO1"
"brd-k92158425","BRD-K92158425",-0.170995,-0.170995,1.79827,0.000163823,0.00117754,2,1,"LINCS L1000",5.26717658432998,"Downregula NQO1"
"pd-184352","PD-184352",0.51946,1.04349,1.51703,6.51099e-05,0.00118184,3,1,"LINCS L1000",4.44101629836921,"Upregula NQO1"
"brd-k40329609","BRD-K40329609",-1.35994633333333,-1.20066,1.99015,0.000102593,0.00121518,3,1,"LINCS L1000",5.80200248385471,"Downregula NQO1"
"brd-a95944315","BRD-A95944315",1.71992,1.71992,1.71992,4.49829e-05,0.00122455,1,1,"LINCS L1000",5.00844741917714,"Upregula NQO1"
"am-580","AM-580",1.0252595,1.0252595,1.08889,4.99838e-06,0.00126362,2,1,"LINCS L1000",2.83841188434068,"Upregula NQO1"
"brd-k86682249","BRD-K86682249",1.21433,1.27524,1.31331,4.05053e-07,0.00128853,3,1,"LINCS L1000",3.68532304595354,"Upregula NQO1"
"danazol","danazol",1.2482,1.2482,1.2482,0.000144324,0.00128965,1,1,"LINCS L1000",3.6067090212584,"Upregula NQO1"
"brd-k72615639","BRD-K72615639",-1.3996,-1.3996,1.48863,0.00012173,0.00129698,2,1,"LINCS L1000",3.78370303237784,"Downregula NQO1"
"nbi-27914","NBI-27914",2.34741,2.34741,2.34741,2.24197e-06,0.00131379,1,1,"LINCS L1000",6.76400099529039,"Upregula NQO1"
"brd-k68007270","BRD-K68007270",1.97037,1.97037,1.97037,1.76667e-05,0.00131573,1,1,"LINCS L1000",5.67630735727745,"Upregula NQO1"
"hdac3-selective","HDAC3-selective",0.5234234,0.631393,2.16184,0.000287404,0.00132944,5,1,"LINCS L1000",4.61798445830163,"Upregula NQO1"
"brd-a18725729","BRD-A18725729",0.97416625,1.31315,2.11115,9.33715e-06,0.00134142,4,1,"LINCS L1000",6.06414162061765,"Upregula NQO1"
"brd-a50388635","BRD-A50388635",-1.205,-1.205,1.205,0.00011554,0.00136853,1,1,"LINCS L1000",3.45081354179254,"Downregula NQO1"
"arachidonic acid","Arachidonic acid",1.7416,1.7416,1.7416,3.98985e-05,0.00139193,1,1,"CREEDS",4.97467594451265,"Upregula NQO1"
"brd-k55487965","BRD-K55487965",2.11069333333333,2.20189,2.519,2.25806e-06,0.00139279,3,1,"LINCS L1000",7.19455207294456,"Upregula NQO1"
"arvanil","arvanil",1.55482,1.55482,1.55482,3.69019e-06,0.00139478,1,1,"LINCS L1000",4.43977962992186,"Upregula NQO1"
"periplocymarin","periplocymarin",-1.20421,-1.20421,1.20421,0.000268678,0.0014134,1,1,"LINCS L1000",3.43167927960938,"Downregula NQO1"
"vu-0418939-2","VU-0418939-2",-2.02518,-2.02518,2.02518,0.000229013,0.00141657,1,1,"LINCS L1000",5.76925574593439,"Downregula NQO1"
"brd-k13146765","BRD-K13146765",-1.29623,-1.29623,1.29623,0.00023394,0.00141984,1,1,"LINCS L1000",3.69135271341713,"Downregula NQO1"
"km-00799","KM-00799",-0.62608,-1.17515,1.8229,9.25772e-05,0.00142075,3,1,"LINCS L1000",4.51236187185969,"Downregula NQO1"
"butein","butein",1.93248,1.93248,2.65723,1.24886e-05,0.00144091,2,1,"LINCS L1000",7.55015538873001,"Upregula NQO1"
"col-3","COL-3",-0.9630535,-1.08961,1.679,1.26432e-06,0.00144561,8,1,"LINCS L1000",3.49615388511611,"Downregula NQO1"
"brd-a26595446","BRD-A26595446",1.17462,1.17462,1.17462,6.57692e-06,0.00148721,1,1,"LINCS L1000",3.3213880525334,"Upregula NQO1"
"brd-k40758391","BRD-K40758391",-1.33689,-1.33689,1.33689,0.000403643,0.00149357,1,1,"LINCS L1000",3.77774956202068,"Downregula NQO1"
"sa-3676","SA-3676",1.236,1.236,1.236,0.000159342,0.00149666,1,1,"LINCS L1000",3.49154778439649,"Upregula NQO1"
"brd-k51973945","BRD-K51973945",-1.57753,-1.57753,1.57753,0.000159866,0.00150207,1,1,"LINCS L1000",4.45385595251436,"Downregula NQO1"
"brd-k34092011","BRD-K34092011",0.3418455,0.3418455,1.54824,9.91262e-05,0.00153501,2,1,"LINCS L1000",4.35657518164779,"Upregula NQO1"
