"Drug_Name_Norm","Drug_Name","mean_fc","median_fc","max_abs_fc","min_p_value","min_q_value","n_tests","n_sources","sources","score","direction"
"mln-2238","MLN-2238",0.134118714285714,0.80154,1.44413,7.52927e-09,5.17954e-08,7,1,"LINCS L1000",10.5215106618483,"Upregula NQO1"
"brd-k42644990","BRD-K42644990",-2.36528,-2.36528,2.36528,8.95396e-09,5.30143e-08,1,1,"LINCS L1000",17.2088476507766,"Downregula NQO1"
"sb-225002","SB-225002",-1.26081225,-1.337175,1.65112,5.45115e-10,5.9503e-08,4,1,"LINCS L1000",11.9301033935516,"Downregula NQO1"
"brd-k49861754","BRD-K49861754",1.91881,1.91881,2.41957,4.31709e-10,6.72258e-08,2,1,"LINCS L1000",17.3542787710145,"Upregula NQO1"
"wortmannin","wortmannin",-0.15864875,-0.715653,2.59817,2.03793e-09,6.73707e-08,48,1,"LINCS L1000",16.3477998754036,"Downregula NQO1"
"h-9","H-9",-0.867386666666667,-1.77691,2.58424,8.80138e-10,6.78163e-08,3,1,"LINCS L1000",18.5255531877732,"Downregula NQO1"
"phenethyl-isothiocyanate","phenethyl-isothiocyanate",1.554698,1.804275,3.33726,2.18038e-11,7.44983e-08,4,1,"LINCS L1000",22.6630192241083,"Upregula NQO1"
"sch-79797","SCH-79797",-1.8830386,-2.00808,3.11113,6.52462e-09,7.5202e-08,5,1,"LINCS L1000",14.3051012848757,"Downregula NQO1"
"cycloheximide","cycloheximide",-1.3768495,-1.455245,1.72863,1.43922e-09,8.26324e-08,8,2,"CREEDS; LINCS L1000",6.1838943578261,"Downregula NQO1"
"bi-2536","BI-2536",0.7282685,1.398695,2.08417,6.3869e-09,1.03965e-07,16,1,"LINCS L1000",13.3930517821151,"Upregula NQO1"
"bntx","BNTX",2.15027,2.15027,2.51441,2.20475e-09,1.07665e-07,2,1,"LINCS L1000",17.5202214439739,"Upregula NQO1"
"brd-k75999307","BRD-K75999307",2.3702825,2.114875,3.97347,7.09851e-11,1.12907e-07,4,1,"LINCS L1000",27.6048052121613,"Upregula NQO1"
"km-03472sc","KM-03472SC",2.48657,2.48657,2.48657,1.72543e-10,1.13006e-07,1,1,"LINCS L1000",17.2739493962939,"Upregula NQO1"
"sirolimus","sirolimus",0.20269055,0.773706,3.63075,4.62847e-10,1.21255e-07,20,1,"LINCS L1000",21.4438983445094,"Upregula NQO1"
"sa-1478088","SA-1478088",1.238238,1.73252,2.15466,2.70152e-09,1.24292e-07,5,1,"LINCS L1000",14.8791270656078,"Upregula NQO1"
"antimony","Antimony",-0.98277,-0.98277,0.98277,7.48791e-09,1.28422e-07,1,1,"CREEDS",6.77262242817904,"Downregula NQO1"
"tgx-115","TGX-115",-1.281056,-1.07592,2.39415,4.54942e-10,1.33298e-07,5,1,"LINCS L1000",16.4602034982899,"Downregula NQO1"
"brd-k39345836","BRD-K39345836",2.0506,1.96087,2.83199,1.48286e-10,1.37585e-07,5,1,"LINCS L1000",19.4314980640124,"Upregula NQO1"
"gsk-1059615","GSK-1059615",-1.64377333333333,-1.19219,2.68132,1.34765e-09,1.64888e-07,3,1,"LINCS L1000",18.1868866556838,"Downregula NQO1"
"mk-2206","MK-2206",-1.20561333333333,-1.20628,1.23431,5.49044e-09,1.66116e-07,3,1,"LINCS L1000",8.36811392470472,"Downregula NQO1"
