"entrez_id","symbol","description"
"6517","SLC2A4","SLC2A4; solute carrier family 2 member 4 [KO:K07191]"
"6720","SREBF1","SREBF1; sterol regulatory element binding transcription factor 1 [KO:K07197]"
"6794","STK11","STK11; serine/threonine kinase 11 [KO:K07298] [EC:2.7.11.1]"
"6885","MAP3K7","MAP3K7; mitogen-activated protein kinase kinase kinase 7 [KO:K04427] [EC:2.7.11.25]"
"7248","TSC1","TSC1; TSC complex subunit 1 [KO:K07206]"
"7249","TSC2","TSC2; TSC complex subunit 2 [KO:K07207]"
"79602","ADIPOR2","ADIPOR2; adiponectin receptor 2 [KO:K07297]"
"79966","SCD5","SCD5; stearoyl-CoA desaturase 5 [KO:K00507] [EC:1.14.19.1]"
"81617","CAB39L","CAB39L; calcium binding protein 39 like [KO:K08272]"
"8408","ULK1","ULK1; unc-51 like autophagy activating kinase 1 [KO:K21357] [EC:2.7.11.1]"
"84335","AKT1S1","AKT1S1; AKT1 substrate 1 [KO:K16184]"
"84699","CREB3L3","CREB3L3; cAMP responsive element binding protein 3 like 3 [KO:K09048]"
"8471","IRS4","IRS4; insulin receptor substrate 4 [KO:K17446]"
"8503","PIK3R3","PIK3R3; phosphoinositide-3-kinase regulatory subunit 3 [KO:K02649]"
"8660","IRS2","IRS2; insulin receptor substrate 2 [KO:K07187]"
"8789","FBP2","FBP2; fructose-bisphosphatase 2 [KO:K03841] [EC:3.1.3.11]"
"890","CCNA2","CCNA2; cyclin A2 [KO:K06627]"
"8900","CCNA1","CCNA1; cyclin A1 [KO:K06627]"
"90993","CREB3L1","CREB3L1; cAMP responsive element binding protein 3 like 1 [KO:K09048]"
"9230","RAB11B","RAB11B; RAB11B, member RAS oncogene family [KO:K07905]"
"92335","STRADA","STRADA; STE20 related adaptor alpha [KO:K08271]"
"92579","G6PC3","G6PC3; glucose-6-phosphatase catalytic subunit 3 [KO:K01084] [EC:3.1.3.9]"
"9370","ADIPOQ","ADIPOQ; adiponectin, C1Q and collagen domain containing [KO:K07296]"
"948","CD36","CD36; CD36 molecule (CD36 blood group) [KO:K06259]"
"9586","CREB5","CREB5; cAMP responsive element binding protein 5 [KO:K09047]"
