"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"KEGG_GLYCOLYSIS_GLUCONEOGENESIS",0.309409888357257,0.584619757075331,0.0931454575337804,-0.382723534542062,-1.09118471488756,61,"PDHA2/LDHAL6A/ADH1B/HK3/BPGM/LDHA/PGM2/ADH1A/PKM/PGAM2/PCK1/ADH1C/FBP2/ACSS2/ALDOC/PFKM/HK1/ADH4/PDHB/GCK/HK2"
"KEGG_GLYCOSAMINOGLYCAN_DEGRADATION",0.319347319347319,0.584619757075331,0.114750719227023,0.4488700568485,1.11619437238719,21,"IDUA/SGSH/HEXB/HEXA/HYAL4/GUSB/SPAM1"
"KEGG_LONG_TERM_DEPRESSION",0.329639889196676,0.584619757075331,0.124434168630393,0.335657062940965,1.04971362622053,67,"PPP2R1A/GNAS/GNAI2/PLA2G4B/GRIA3/PLA2G6/IGF1/JMJD7-PLA2G4B/GNAI3/ITPR1/PPP2CB/GRM1"
"KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS",0.302207130730051,0.584619757075331,0.0982123351217438,-0.508050919895154,-1.13392173548223,16,"BCAT1/PANK4/PANK3/ENPP1/VNN2/DPYS"
"KEGG_PRIMARY_IMMUNODEFICIENCY",0.325980392156863,0.584619757075331,0.116739204791222,0.396220723113783,1.07938171846173,35,"UNG/RFXANK/ZAP70/RFXAP/CD4/CD79A/CD3E/LCK"
"KEGG_STEROID_BIOSYNTHESIS",0.333901192504259,0.584619757075331,0.0925528864684773,-0.489039838801207,-1.10572414922006,17,"NSDHL/DHCR7/CEL/CYP51A1/DHCR24/SOAT1"
"KEGG_STEROID_HORMONE_BIOSYNTHESIS",0.312020460358056,0.584619757075331,0.122679189568808,0.358881909638428,1.08135148845668,54,"HSD17B8/CYP11A1/SRD5A1/CYP1B1/HSD11B2/CYP3A5"
"KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS",0.317117117117117,0.584619757075331,0.0988903007520636,-0.610220534833922,-1.15672891095717,8,"PDHA2/BCAT1/PDHB/IARS2"
"KEGG_VEGF_SIGNALING_PATHWAY",0.331797235023041,0.584619757075331,0.0870515867946735,-0.361961432147675,-1.06297927101664,75,"PIK3CB/MAP2K2/PLA2G2A/PLA2G12A/PLA2G12B/MAPKAPK3/KDR/PTK2/PPP3CA/PPP3CB/MAPK1/BAD/PPP3R1/AKT2/AKT3/PPP3CC/RAF1/KRAS/PIK3CA/PIK3CD/CHP1/MAPK14/PPP3R2/MAPK13"
"KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM",0.342105263157895,0.586914534041526,0.12563992130984,0.321870039693157,1.03926575526747,81,"LAMA2/SGCA/PRKAB1/TGFB2/TNNI3/MYL2/ACTB/PRKAG3/ITGA8/IGF1/ITGA10/ACE/TPM1/TGFB3/ITGB4/PRKAA2/ACTC1/ACTG1/CACNA2D2/MYH7/CACNB3/TNF/ITGB8/TPM3/SGCG"
"KEGG_LINOLEIC_ACID_METABOLISM",0.348914858096828,0.590053228351101,0.0888945288620449,-0.420361938637305,-1.06175605320766,28,"PLA2G2A/PLA2G12A/PLA2G12B"
